Description,Latitude,Longitude
ALUMNAE HALL,41.829641,-71.402102
ANDREWS HALL,41.830569,-71.402512
ANDREWS HOUSE,41.823933,-71.402316
ANGELL ST 127,41.827769,-71.402539
ANGELL ST 129,41.827777,-71.402402
ANGELL ST 164,41.828286,-71.400983
ANGELL ST 195,41.827944,-71.399876
ANNMARY BROWN MEMORIAL LIBRARY,41.824265,-71.402322
ARNOLD LAB,41.826925,-71.401131
BARBOUR HALL,41.823857,-71.398025
BARUS BUILDING,41.82626,-71.399382
BENEVOLENT ST 020,41.824721,-71.40329
BENEVOLENT ST 022,41.824703,-71.403116
BENEVOLENT ST 026,41.824717,-71.402861
BENEVOLENT ST 074-080,41.825004,-71.399186
BENEVOLENT ST 083-085,41.824743,-71.399082
BENEVOLENT ST 084,41.825026,-71.398663
BENEVOLENT ST 086,41.82505,-71.398473
BENEVOLENT ST 088,41.825078,-71.398349
BARUS & HOLLEY,41.826505,-71.397826
BIO-MED ACF,41.82857,-71.402375
BIO-MED CTR,41.828596,-71.402909
BIO-MED GRIMSHAW-GUDEWICZ,41.828668,-71.402086
BLISTEIN HOUSE,41.826699,-71.405149
BOWEN ST 219,41.830597,-71.401745
BOWEN ST 244,41.83104,-71.400621
BOWEN ST 247,41.830643,-71.400476
BOWEN ST 251,41.830673,-71.40023
BROOK ST 245-247,41.823654,-71.398526
BROOK ST 250,41.823459,-71.399098
BROOK ST 281-283,41.824533,-71.398671
BROOK ST 287,41.824677,-71.398725
BROOK ST 291,41.824797,-71.39876
BROOK ST 456,41.830269,-71.399929
BROWN ST 068.5,41.827355,-71.403309
BROWN ST 070,41.827553,-71.403397
BROWN ST 111,41.829913,-71.40332
BROWN ST 117,41.830103,-71.403172
BROWN STADIUM,41.842117,-71.394342
BUTLER HOSPITAL DUNCAN BUILDING,41.84294,-71.3797
BUXTON HOUSE: WRISTON QUAD,41.824523,-71.402335
CARRIE TOWER,41.826769,-71.404486
CASWELL HALL,41.826106,-71.400624
CHAMPLIN: PEMBROKE QUAD,41.830241,-71.40178
CHAPIN HOUSE: WRISTON QUAD,41.824461,-71.400399
CHARLESFIELD ST 038,41.823577,-71.401407
CHARLESFIELD ST 059,41.824145,-71.399387
CHARLESFIELD ST 066-068,41.823807,-71.399154
CHARLESFIELD ST 070-072,41.823797,-71.398972
CHARLESFIELD ST 071-073,41.824205,-71.398553
CHARLESFIELD ST 075,41.824223,-71.398156
CHARLESFIELD ST 108-110,41.823971,-71.397601
CHURCHILL HOUSE,41.827759,-71.401544
CENTRAL HEAT PLANT,41.831968,-71.397357
COOKE ST 037,41.825958,-71.395656
CORLISS-BRACKETT,41.827561,-71.404438
CUSHING ST 084-086,41.829853,-71.403084
CUSHING ST 154,41.830231,-71.400503
CUSHING ST 166,41.830249,-71.400197
DIMAN HOUSE: WRISTON QUAD,41.824391,-71.401557
DYER HOUSE,41.823407,-71.396472
EMERY: PEMBROKE QUAD,41.829379,-71.401788
ENGINEERING RESEARCH CENTER,41.826368,-71.398401
FACULTY CLUB,41.824779,-71.403711
FAUNCE HOUSE,41.826829,-71.40296
FEINSTEIN,41.823739,-71.397338
FIERING HOUSE,41.824281,-71.397834
FONES ALLEY 008,41.827451,-71.404194
FOX POINT DAY CARE CTR,41.824625,-71.397542
FRIEDMAN HALL,41.82589,-71.402496
FIRST BAPTIST CHURCH,41.82745,-71.4083
FIRST UNITARIAN CHURCH,41.824601,-71.404916
GARDNER HOUSE,41.825526,-71.401804
GEO-CHEM BLDG,41.825834,-71.399516
GEORGE ST 025,41.82509,-71.405275
GEORGE ST 067,41.825106,-71.403553
GEORGE ST 155,41.825378,-71.399674
GEORGE ST 180,41.825888,-71.398779
GEORGE ST 182,41.825902,-71.398304
GERARD HOUSE,41.826242,-71.405886
GIDDINGS HOUSE,41.823577,-71.397362
GODDARD HOUSE: WRISTON QUAD,41.824127,-71.401294
GRADUATE CTR A,41.823066,-71.400954
GRADUATE CTR B,41.823567,-71.40101
GRADUATE CTR C,41.823629,-71.400369
GRADUATE CTR D,41.823124,-71.400305
GRADUATE CTR E,41.823347,-71.400651
GRANT FULTON,41.824928,-71.396603
GRANOFF CTR FOR THE CREATIVE ARTS,41.82825,-71.40147
HARKNESS HOUSE: WRISTON QUAD,41.823989,-71.400656
HEGEMAN HALL,41.825802,-71.400814
HEMISPHERE BLDG,41.827827,-71.401053
HILLEL HOUSE,41.82799,-71.40336
HIRSCHFELD HOUSE,41.825454,-71.399184
HOPE ST 134,41.823987,-71.397325
HOPE ST 170,41.826022,-71.397566
HOPE ST 190,41.827378,-71.397485
HOPE COLLEGE,41.826721,-71.403861
HOPE ST 199 - UNIT 3,41.828272,-71.396991
HOPPIN (THOMAS P.) HOUSE,41.821602,-71.402292
HORACE MANN HOUSE,41.82507,-71.404272
JOHN CARTER BROWN LIBRARY,41.825556,-71.402453
JOHN HAY LIBRARY,41.8264,-71.405001
JOHN ST 050,41.822024,-71.398752
KASSAR (EDWARD W.) HOUSE,41.825252,-71.40002
KING HOUSE,41.82486,-71.397499
ARCHIBALD-BRONSON: KEENEY QUAD,41.824319,-71.402866
EVERETT-POLAND: KEENEY QUAD,41.823905,-71.403346
JAMESON-MEAD: KEENEY QUAD,41.823907,-71.403813
LADD OBSERVATORY,41.839098,-71.399127
LINCOLN FIELD BUILDING,41.825992,-71.401289
LIPPITT HOUSE,41.827371,-71.40127
LIST (ALBERT & VERA) ART BUILDING,41.826405,-71.405396
LITTLEFIELD HALL,41.82563,-71.402005
LLOYD AVE 165-167,41.831338,-71.400594
LLOYD AVE 295,41.832953,-71.395557
LYMAN HALL,41.826557,-71.401809
MACFARLANE HOUSE,41.826214,-71.406254
MACHADO (ANTONIO) HOUSE,41.830133,-71.404781
MACMILLAN HALL,41.826008,-71.400069
MADDOCK ALUMNI CENTER,41.825094,-71.403024
MANNING HALL,41.826443,-71.403851
MARCY HOUSE: WRISTON QUAD,41.824667,-71.401265
MARSTON HALL,41.826641,-71.399505
MAXCY HALL,41.825894,-71.402003
MEEHAN AUDITORIUM,41.83138,-71.398929
MEETING ST 205,41.828905,-71.401388
MEETING ST 242,41.829362,-71.400087
MEIKLEJOHN HOUSE,41.82544,-71.399395
MENCOFF HALL,41.827249,-71.404063
METCALF HALL,41.830181,-71.402729
METCALF RESEARCH BUILDING,41.826721,-71.400694
MILLER HALL,41.830217,-71.402209
MINDEN HALL,41.827217,-71.398915
MORRISON-GERARD STUDIO,41.82496,-71.397008
MORRISS HALL: PEMBROKE QUAD,41.829969,-71.401665
MEDICAL RESEARCH LAB,41.826745,-71.401158
MARSTON BOATHOUSE,41.8184,-71.388752
NELSON FITNESS CENTER,41.83013,-71.39812
NEW PEMBROKE NO. 1,41.830115,-71.401252
NEW PEMBROKE NO. 2,41.830455,-71.401506
NEW PEMBROKE NO. 3,41.830627,-71.401426
NEW PEMBROKE NO. 4,41.830339,-71.401088
NICHOLSON HOUSE,41.82512,-71.403287
NIGHTINGALE-BROWN HOUSE,41.822468,-71.402987
NORWOOD HOUSE,41.827289,-71.402287
OLIVE ST 020,41.828468,-71.403631
OLNEY HOUSE: WRISTON QUAD,41.824575,-71.401957
OLNEY-MARGOLIES ATHLETIC CENTER,41.831096,-71.397279
ORWIG MUSIC HALL,41.824525,-71.396711
PAGE-ROBINSON HALL,41.827475,-71.40281
PARTRIDGE HALL & ANNEX,41.827197,-71.403282
PEMBROKE HALL,41.829188,-71.402764
PEMBROKE FIELD HOUSE,41.829993,-71.399471
PERKINS HALL,41.823595,-71.396147
PETER GREEN HOUSE,41.828156,-71.402048
PIZZITOLA,41.831708,-71.398079
POWER ST 089,41.822778,-71.400804
POWER ST PARKING GARAGE,41.822718,-71.399334
PRESIDENT'S HOUSE,41.822674,-71.40259
PRINCE ENGINEERING LAB,41.826793,-71.398543
PROMENADE 235,41.82874,-71.41495
PROSPECT HOUSE,41.826737,-71.404905
RHODE ISLAND HALL,41.825454,-71.403877
STEPHEN ROBERT HALL,41.824247,-71.399071
ROBINSON HALL,41.827175,-71.40439
ROCHAMBEAU HOUSE,41.829915,-71.405642
ROCKEFELLER (JOHN D. JR.) LIBRARY,41.8257,-71.405082
SALOMON CTR FOR TEACHING,41.826501,-71.402451
SAYLES HALL,41.826182,-71.402577
SCIENCES LIBRARY,41.826937,-71.400136
SEARS HOUSE: WRISTON QUAD,41.825252,-71.40171
SIDNEY E. FRANK HALL LIFE SCIENCES,41.82866,-71.401568
SHARPE HOUSE,41.828132,-71.4024
SHARPE REFECTORY,41.825088,-71.400812
SLATER HALL,41.825748,-71.403832
SOUTH MAIN ST 121,41.824191,-71.406991
SHIRLEY MILLER HOUSE,41.825114,-71.403805
SMITH-BUONANNO HALL,41.829585,-71.402764
STEINERT CENTER,41.823373,-71.396778
STIMSON AVE 002,41.829747,-71.397944
SAINT STEPHEN'S CHURCH,41.826565,-71.40127
T.F. GREEN HALL,41.824437,-71.395847
THAYER ST 257,41.828839,-71.400123
THAYER ST 135,41.824942,-71.400037
THAYER ST 249,41.828473,-71.400509
THAYER ST 271,41.829258,-71.400554
THAYER ST 272,41.829322,-71.400951
THAYER ST 307,41.830437,-71.40075
THAYER ST 315,41.830639,-71.400659
STOCKROOM - TOCKWOTTEN ST 271,41.8173,-71.40002
URBAN ENVIRONMENTAL LAB,41.827633,-71.40218
UNIVERSITY HALL,41.826116,-71.403837
VERNEY-WOOLLEY HALL: PEMBROKE QUAD,41.829797,-71.401402
VARTAN GREGORIAN QUAD A,41.823527,-71.399336
VARTAN GREGORIAN QUAD B,41.823319,-71.399814
WALTER HALL,41.827275,-71.402528
WATERMAN ST 070,41.827139,-71.403818
WATERMAN ST 085,41.826887,-71.401909
WATERMAN ST 086,41.827301,-71.402011
WATERMAN ST 094,41.827366,-71.401461
WATERMAN ST 118-120,41.827591,-71.399112
WATERMAN ST 125-127,41.827267,-71.398508
WATERMAN ST 129,41.827305,-71.398315
WATERMAN ST 131,41.827315,-71.39814
WATERMAN ST 133,41.827325,-71.398006
WATERMAN ST 137,41.827123,-71.397786
WATSON CENTER FOR INFORMATION TECH,41.827021,-71.399532
WATSON INSTITUTE,41.824343,-71.399886
WAYLAND HOUSE: WRISTON QUAD,41.824972,-71.402467
WEST HOUSE,41.829102,-71.403164
WILBOUR HALL,41.825346,-71.404709
WOOLLEY HALL: PEMBROKE QUAD,41.829625,-71.401496
YOUNG ORCHARD AVE 002,41.824031,-71.39678
YOUNG ORCHARD AVE 004,41.824075,-71.396322
YOUNG ORCHARD AVE 010,41.824099,-71.395694
